seq_id	species	label
KJ887617	ACMV	ACMV
KJ887618	ACMV	ACMV
KJ887619	ACMV	ACMV
KJ887620	ACMV	ACMV
KJ887621	ACMV	ACMV
KJ887622	ACMV	ACMV
KJ887623	ACMV	ACMV
KJ887624	ACMV	ACMV
KJ887625	ACMV	ACMV
KJ887626	ACMV	ACMV
KJ887627	ACMV	ACMV
KJ887628	ACMV	ACMV
KJ887629	ACMV	ACMV
KJ887630	ACMV	ACMV
KJ887631	ACMV	ACMV
KJ887632	ACMV	ACMV
KJ887634	ACMV	ACMV
KJ887636	ACMV	ACMV
KJ887637	ACMV	ACMV
KJ887638	ACMV	ACMV
KJ887651	ACMV	ACMV
KJ887681	ACMV	ACMV
KJ887692	ACMV	ACMV
KJ887705	ACMV	ACMV
KJ887706	ACMV	ACMV
KJ887707	ACMV	ACMV
KJ887710	ACMV	ACMV
KJ887739	ACMV	ACMV
KJ887741	ACMV	ACMV
KJ887743	ACMV	ACMV
KJ887744	ACMV	ACMV
KJ887750	ACMV	ACMV
KJ887751	ACMV	ACMV
KJ887752	ACMV	ACMV
KR476373	ACMV	ACMV
KR476374	ACMV	ACMV
LC659081	ACMV	ACMV
LC659082	ACMV	ACMV
LC722237	ACMV	ACMV
LC723866	ACMV	ACMV
LC723867	ACMV	ACMV
LC723868	ACMV	ACMV
LC724016	ACMV	ACMV
LC724017	ACMV	ACMV
MH646696	ACMV	ACMV
MH646697	ACMV	ACMV
MH646698	ACMV	ACMV
MH646699	ACMV	ACMV
MH646700	ACMV	ACMV
MH646707	ACMV	ACMV
MH646708	ACMV	ACMV
MH646709	ACMV	ACMV
MH646710	ACMV	ACMV
MH646713	ACMV	ACMV
MH646715	ACMV	ACMV
MH646716	ACMV	ACMV
MH646720	ACMV	ACMV
MH646721	ACMV	ACMV
MH646722	ACMV	ACMV
MT858794	ACMV	ACMV
MW848517	ACMV	ACMV
OP947588	ACMV	ACMV
PP503027	ACMV	ACMV
PV747992	ACMV	ACMV
PV747994	ACMV	ACMV
X17096	ACMV	ACMV
HE616778	ACMV	ACMV
NC055127	ACMV	ACMV
AF126801	ACMV	ACMV
AF126803	ACMV	ACMV
KJ887633	SACMV	SACMV
KJ887635	SACMV	SACMV
